編號,年度,年級,課次,生字,生字注音,部首,部首注音,總筆畫,部首外筆畫,字義教學,造詞教學-造詞,造詞教學1,造詞教學2,成語教學,字形辨別,字音辨別,教學圖卡
1,103,4,第一課 藍色的海洋大軍  ,潮,潮,水,水,15,12,"1.海水受日月引力影響而定時漲落的現象。如：潮汐、漲潮
2.溼潤。如：潮溼、受潮
3.像潮水般洶湧起伏的形勢。如：思潮、學潮",暗潮,"解釋
潛伏在水面或地面下的潮水。亦比喻隱藏在暗處的勢力。
例句
平靜潛伏的海面下有許多看不到的暗潮，千萬要小心！","1.風潮
解釋
風向與潮汐。比喻一時轟動喧騰的事情。
2.人潮
解釋
形容人數眾多。","心血來潮
解釋
心中忽然產生念頭。
造句
他突然心血來潮，拜訪多年不見的老友。","潮（?，文鼎標楷無字形，需造字）： 退潮、潮流
朝： 王朝、朝向
嘲（口）： 嘲笑、解嘲",不製作,不製作
2,103,4,第一課 藍色的海洋大軍  ,戰,戰,戈,戈,16,12,"1.打仗、爭鬥。如：作戰、戰鬥
2.與戰爭有關的。如：戰法、戰果、戰機
3.姓。如：戰小姐",戰雲,"解釋
形容戰爭的氣氛。
例句
前線戰雲密布，戰士們摩拳擦掌隨時準備應戰。","1.大戰
解釋
大規模的戰爭。
2.挑戰
解釋
向人尋釁，激起爭鬥。","百戰百勝
解釋
形容善於作戰，所向無敵。
造句
這個投手球速極快，只要有他上場，球隊必定百戰百勝。",不製作,不製作,不製作
3,103,4,第一課 藍色的海洋大軍  ,兵,兵,八,八,7,5,"1.武器。如：兵器、短兵相接
2.戰士、軍隊。如：調兵遣將、按兵不動
3.戰爭。如：兵連禍結、兵荒馬亂
4.有關軍事或戰爭的事。如：紙上談兵、談笑用兵、兵不厭詐
5.專指軍隊中的基層成員。如：炮兵、步兵
6.姓。如：兵先生",小兵,"解釋
軍隊中的基層成員。
例句
大將軍派小兵們輪值守夜，以防敵軍突襲。","1.兵器
解釋
武器。
2.當兵
解釋
服兵役。","賠了夫人又折兵
解釋
比喻不但沒有占到便宜，反而吃了大虧。
造句
不要這麼做，會讓你賠了夫人又折兵的。",不製作,不製作,不製作
4,103,4,第一課 藍色的海洋大軍  ,蓄,蓄,艸,艸,14,10,"1.儲藏、儲存。如：儲蓄、蓄水池
2.留。如：蓄髮
",蓄勢待發,"解釋
貯備隨時可以展現的實力，待機而發。
例句
田徑場邊的選手各個蓄勢待發，準備上場一較高下。","1.積蓄
解釋
累積儲存。
2.蓄水
解釋
將水儲存起來。","兼容並蓄
解釋
廣泛包容各種不同的事物或觀念。
造句
這次展覽的內容兼容並蓄，值得一看。","蓄（?，文鼎標楷無字形，需造字）：儲蓄、蓄水池
畜：牲畜、家畜",不製作,不製作
5,103,4,第一課 藍色的海洋大軍  ,勢,勢,力,力,13,11,"1.權力、威力。如：有錢有勢、仗勢欺人
2.事物表現出來的狀態、情況或趨向。如：地勢、局勢、大勢所趨",蓄勢待發,"解釋
貯備隨時可以展現的實力，待機而發。
例句
田徑場邊的選手各個蓄勢待發，準備上場一較高下。","1.風勢
解釋
風力的強弱。
2.氣勢
解釋
氣象、氣派。","勢如破竹
解釋
比喻順利進行，毫無阻礙。
造句
我隊以勢如破竹的姿態，奪得今年世界盃足球賽冠軍。","勢（力）： 趨勢、風勢
熱（?）： 熱情、熱賣",不製作,不製作
6,103,4,第一課 藍色的海洋大軍  ,鼓,鼓,鼓,鼓,13,0,"1.樂器名。一種用皮革蒙在中空木桶上所製成的打擊樂器。其形有大有小，聲音洪亮。如：敲鑼打鼓
2.拍擊、彈奏。如：鼓掌、鼓琴、鼓瑟
3.振動。如：鼓翅、鼓翼
4.激勵、使振作。如：鼓勵、鼓舞士氣
5.突出、漲起。如：鼓著腮幫子",戰鼓,"解釋
古代戰場上為鼓舞士氣及發動攻擊所擊的鼓。
例句
邊境響起陣陣的戰鼓聲，一場激烈的戰爭即將開始。","1.鼓舞
解釋
鼓勵、激勵。
2.鼓手
解釋
泛指樂隊中打鼓的人。","暮鼓晨鐘
解釋
比喻使人覺悟的言論。
造句
聽完他的一番言語，有如暮鼓晨鐘，讓我終於明白了。",不製作,不製作,不製作
7,103,4,第一課 藍色的海洋大軍  ,鬃,鬃,髟,髟,18,8,"1.馬、豬等獸類頸背上的長毛。如：馬鬃、豬鬃
",鬃毛,"解釋
馬、豬等獸類頸背上的長毛或硬毛。
例句
獅子是叢林裡的萬獸之王，巨大的鬃毛，往外散開，看起來十分雄壯威武。","1.豬鬃
解釋
豬頸上粗長的毛，可以製成刷子
2.馬鬃
解釋
馬頸背上的長毛。",不製作,不製作,不製作,是
8,103,4,第一課 藍色的海洋大軍  ,蹄,蹄,足,足,16,9,"1.獸足趾端的角質部分。後用以借指獸足。如：馬蹄、牛蹄
",蹄,"解釋
獸足趾端的角質部分。後用以借指獸足。
例句
遠處終於傳來了陣陣馬蹄聲，整齊畫一，就像是戰鼓的鼓點。","1.馬蹄
解釋
馬足趾。
2.鐵蹄
解釋
裝在馬蹄上的Ｕ型鐵塊。","馬不停蹄
解釋
形容到處奔走，忙碌不休。
造句
為了籌辦這場晚會，他馬不停蹄的到處奔走。",不製作,不製作,不製作
9,103,4,第一課 藍色的海洋大軍  ,騰,騰,馬,馬,20,10,"1.奔馳、跳躍。如：萬馬奔騰、舉國歡騰
2.上升。如：升騰
3.空出、挪出。如：騰出房間、騰出時間",奔騰,"解釋
奔馳騰躍。
例句
水庫洩洪時，水勢有如萬馬奔騰，十分壯觀。","1.沸騰
解釋
液體加熱至一定的溫度時，液體上湧並發生氣化的現象。
2.騰空
解釋
升上天空。","飛黃騰達
解釋
比喻仕途得意，很快到達高位。
造句
父母犧牲一切，辛苦栽培他，就是希望他能夠飛黃騰達，光耀門楣。",不製作,不製作,是
10,103,4,第一課 藍色的海洋大軍  ,揚,揚,手,手,12,9,"1.舉起、升高。如：揚手、揚鞭、揚帆
2.飄動。如：飛揚、飄揚
3.往上撒，以去除穀物的外皮。如：揚場、揚棄
4.顯露、彰明。如：隱惡揚善
5.稱頌、傳布。如：表揚、讚揚、揚名國際",飛揚,"解釋
高舉飄揚。
例句
她的長髮迎風飛揚，看起來格外飄逸清純。","1.表揚
解釋
公開表示讚揚。
2.揚起
解釋
飛起、上升。","揚眉吐氣
解釋
形容擺脫長期壓抑後的暢快神情。
造句
小明努力苦讀，今年考上榜首，總算有揚眉吐氣的一日。","揚（?）：飛揚、揚言
場（土，需造字）：場地、操場
楊（木）：楊桃、楊柳
陽（?）：太陽、陽光",不製作,不製作
11,103,4,第一課 藍色的海洋大軍  ,陸,陸,阜,阜,11,8,"1.高出水面的平地。如：大陸、登陸
2.旱路、陸路。如：水陸交通
3.姓。如：陸先生",陸上,"解釋
高出水面的土地上。
例句
氣象局雖已解除陸上颱風警報，但大家仍不可掉以輕心。","1.陸地
解釋
地球表面除去海洋、湖泊、河川等的部分。
2.陸橋
解釋
架設在道路上空，供行人穿越道路的橋梁。","光怪陸離
解釋
形容現象離奇怪異，色彩參差錯雜。
造句
這本小說描述了許多光怪陸離的人物景象，讀得大家如醉如痴。",不製作,"陸：大陸
陸：陸佰元",不製作
12,103,4,第一課 藍色的海洋大軍  ,挺,挺,手,手,10,7,"1.撐直。如：挺胸、挺直脖子
2.直的。如：西裝筆挺
3.勉強支撐。如：生病了就要休息，不要硬挺。
4.很、甚。如：挺好
5.量詞。計算機槍數量的單位。如：十挺機關槍",挺進,"解釋
不顧一切向前邁進。
例句
消防員謹慎小心的帶著救援器材，挺進火場救人。","1.挺直
解釋
直立不彎曲。
2.挺胸
解釋
挺起胸膛。","挺身而出
解釋
毫不畏縮，勇敢的站出來承擔責任。
造句
遇到紛爭，他總是挺身而出，善加勸解。","挺（?）：挺身而出
鋌（金，取部首造字）：鋌而走險",不製作,不製作
